duplicate_group,n,n_classes,n_splits,classes,splits
227,1,1,1,Normal,train_source
228,1,1,1,Normal,train_source
229,1,1,1,Normal,train_source
230,1,1,1,Normal,train_source
231,1,1,1,Normal,train_source
232,1,1,1,Normal,train_source
233,1,1,1,Normal,train_source
234,1,1,1,Normal,train_source
235,1,1,1,Normal,train_source
236,1,1,1,Normal,train_source
237,1,1,1,Normal,train_source
238,1,1,1,Normal,train_source
239,1,1,1,Normal,train_source
240,58,2,2,Normal|Pneumonia,test_source|train_source
241,1,1,1,Normal,train_source
242,1,1,1,Normal,train_source
243,2,1,1,Normal,train_source
244,1,1,1,Normal,train_source
245,1,1,1,Normal,train_source
246,1,1,1,Normal,train_source
247,1,1,1,Normal,train_source
248,1,1,1,Normal,train_source
249,1,1,1,Normal,train_source
250,1,1,1,Normal,train_source
251,1,1,1,Normal,train_source
252,1,1,1,Normal,train_source
253,2,1,1,Normal,train_source
254,1,1,1,Normal,train_source
255,1,1,1,Normal,train_source
256,1,1,1,Normal,train_source
257,1,1,1,Normal,train_source
258,1,1,1,Normal,train_source
259,1,1,1,Normal,train_source
260,1,1,1,Normal,train_source
261,1,1,1,Normal,train_source
262,1,1,1,Normal,train_source
263,1,1,1,Normal,train_source
264,1,1,1,Normal,train_source
265,1,1,1,Normal,train_source
266,1,1,1,Normal,train_source
267,1,1,1,Normal,train_source
268,1,1,1,Normal,train_source
269,1,1,1,Normal,train_source
270,1,1,1,Normal,train_source
271,1,1,1,Normal,train_source
272,1,1,1,Normal,train_source
273,1,1,1,Normal,train_source
274,1,1,1,Normal,train_source
275,1,1,1,Normal,train_source
276,2,1,1,Normal,train_source
277,1,1,1,Normal,train_source
278,1,1,1,Normal,train_source
279,1,1,1,Normal,train_source
280,1,1,1,Normal,train_source
281,1,1,1,Normal,train_source
282,1,1,1,Normal,train_source
283,1,1,1,Normal,train_source
284,1,1,1,Normal,train_source
285,1,1,1,Normal,train_source
286,1,1,1,Normal,train_source
287,1,1,1,Normal,train_source
288,1,1,1,Normal,train_source
289,1,1,1,Normal,train_source
290,1,1,1,Normal,train_source
291,1,1,1,Normal,train_source
292,1,1,1,Normal,train_source
293,1,1,1,Normal,train_source
294,1,1,1,Normal,train_source
295,1,1,1,Normal,train_source
296,1,1,1,Normal,train_source
297,1,1,1,Normal,train_source
298,1,1,1,Normal,train_source
299,1,1,1,Normal,train_source
300,1,1,1,Normal,train_source
301,1,1,1,Normal,train_source
302,1,1,1,Normal,train_source
303,1,1,1,Normal,train_source
304,1,1,1,Normal,train_source
305,1,1,1,Normal,train_source
306,1,1,1,Normal,train_source
307,1,1,1,Normal,train_source
308,1,1,1,Normal,train_source
309,1,1,1,Normal,train_source
310,1,1,1,Normal,train_source
311,1,1,1,Normal,train_source
312,1,1,1,Normal,train_source
313,1,1,1,Normal,train_source
314,1,1,1,Normal,train_source
315,2,1,1,Normal,train_source
316,1,1,1,Normal,train_source
317,1,1,1,Normal,train_source
318,1,1,1,Normal,train_source
319,1,1,1,Normal,train_source
320,1,1,1,Normal,train_source
321,1,1,1,Normal,train_source
322,1,1,1,Normal,train_source
323,1,1,1,Normal,train_source
324,1,1,1,Normal,train_source
325,1,1,1,Normal,train_source
326,1,1,1,Normal,train_source
327,1,1,1,Normal,train_source
328,1,1,1,Normal,train_source
329,1,1,1,Normal,train_source
330,1,1,1,Normal,train_source
331,1,1,1,Normal,train_source
332,1,1,1,Normal,train_source
333,1,1,1,Normal,train_source
334,1,1,1,Normal,train_source
335,1,1,1,Normal,train_source
336,1,1,1,Normal,train_source
337,1,1,1,Normal,train_source
338,1,1,1,Normal,train_source
339,1,1,1,Normal,train_source
340,1,1,1,Normal,train_source
341,2,1,1,Normal,train_source
342,1,1,1,Normal,train_source
343,1,1,1,Normal,train_source
344,1,1,1,Normal,train_source
345,1,1,1,Normal,train_source
346,1,1,1,Normal,train_source
347,1,1,1,Normal,train_source
348,1,1,1,Normal,train_source
349,2,1,1,Normal,train_source
350,1,1,1,Normal,train_source
351,1,1,1,Normal,train_source
352,1,1,1,Normal,train_source
353,1,1,1,Normal,train_source
354,1,1,1,Normal,train_source
355,1,1,1,Normal,train_source
356,1,1,1,Normal,train_source
357,1,1,1,Normal,train_source
358,1,1,1,Normal,train_source
359,1,1,1,Normal,train_source
360,1,1,1,Normal,train_source
361,1,1,1,Normal,train_source
362,1,1,1,Normal,train_source
363,1,1,1,Normal,train_source
364,1,1,1,Normal,train_source
365,2,1,1,Normal,train_source
366,1,1,1,Normal,train_source
367,1,1,1,Normal,train_source
368,1,1,1,Normal,train_source
369,1,1,1,Normal,train_source
370,1,1,1,Normal,train_source
371,1,1,1,Normal,train_source
372,1,1,1,Normal,train_source
373,1,1,1,Normal,train_source
374,1,1,1,Normal,train_source
375,1,1,1,Normal,train_source
376,1,1,1,Normal,train_source
377,1,1,1,Normal,train_source
378,1,1,1,Normal,train_source
379,1,1,1,Normal,train_source
380,1,1,1,Normal,train_source
381,1,1,1,Normal,train_source
382,1,1,1,Normal,train_source
383,1,1,1,Normal,train_source
384,1,1,1,Normal,train_source
385,1,1,1,Normal,train_source
386,1,1,1,Normal,train_source
387,1,1,1,Normal,train_source
388,1,1,1,Normal,train_source
389,1,1,1,Normal,train_source
390,1,1,1,Normal,train_source
391,1,1,1,Normal,train_source
392,2,1,1,Normal,train_source
393,1,1,1,Normal,train_source
394,1,1,1,Normal,train_source
395,1,1,1,Normal,train_source
396,1,1,1,Normal,train_source
397,1,1,1,Normal,train_source
398,1,1,1,Normal,train_source
399,1,1,1,Normal,train_source
400,1,1,1,Normal,train_source
401,1,1,1,Normal,train_source
402,1,1,1,Normal,train_source
403,1,1,1,Normal,train_source
404,1,1,1,Normal,train_source
405,1,1,1,Normal,train_source
406,1,1,1,Normal,train_source
407,1,1,1,Normal,train_source
408,1,1,1,Normal,train_source
409,1,1,1,Normal,train_source
410,1,1,1,Normal,train_source
411,1,1,1,Normal,train_source
412,1,1,1,Normal,train_source
413,1,1,1,Normal,train_source
414,1,1,1,Normal,train_source
415,1,1,1,Normal,train_source
416,2,1,1,Normal,train_source
417,1,1,1,Normal,train_source
418,1,1,1,Normal,train_source
419,1,1,1,Normal,train_source
420,1,1,1,Normal,train_source
421,1,1,1,Normal,train_source
422,1,1,1,Normal,train_source
423,1,1,1,Normal,train_source
424,1,1,1,Normal,train_source
425,1,1,1,Normal,train_source
426,1,1,1,Normal,train_source
427,1,1,1,Normal,train_source
428,1,1,1,Normal,train_source
429,1,1,1,Normal,train_source
430,1,1,1,Normal,train_source
431,1,1,1,Normal,train_source
432,1,1,1,Normal,train_source
433,1,1,1,Normal,train_source
434,1,1,1,Normal,train_source
435,1,1,1,Normal,train_source
436,2,1,1,Normal,train_source
437,1,1,1,Normal,train_source
438,1,1,1,Normal,train_source
439,1,1,1,Normal,train_source
440,1,1,1,Normal,train_source
441,1,1,1,Normal,train_source
442,1,1,1,Normal,train_source
443,1,1,1,Normal,train_source
444,1,1,1,Normal,train_source
445,1,1,1,Normal,train_source
446,1,1,1,Normal,train_source
447,1,1,1,Normal,train_source
448,1,1,1,Normal,train_source
449,1,1,1,Normal,train_source
450,1,1,1,Normal,train_source
451,1,1,1,Normal,train_source
452,1,1,1,Normal,train_source
453,1,1,1,Normal,train_source
454,1,1,1,Normal,train_source
455,1,1,1,Normal,train_source
456,1,1,1,Normal,train_source
457,1,1,1,Normal,train_source
458,1,1,1,Normal,train_source
459,1,1,1,Normal,train_source
460,1,1,1,Normal,train_source
461,1,1,1,Normal,train_source
462,1,1,1,Normal,train_source
463,1,1,1,Normal,train_source
464,1,1,1,Normal,train_source
465,1,1,1,Normal,train_source
466,1,1,1,Normal,train_source
467,1,1,1,Normal,train_source
468,1,1,1,Normal,train_source
469,1,1,1,Normal,train_source
470,1,1,1,Normal,train_source
471,1,1,1,Normal,train_source
472,1,1,1,Normal,train_source
473,1,1,1,Normal,train_source
474,1,1,1,Normal,train_source
475,1,1,1,Normal,train_source
476,1,1,1,Normal,train_source
477,1,1,1,Normal,train_source
478,3,1,1,Normal,train_source
479,1,1,1,Normal,train_source
480,1,1,1,Normal,train_source
481,1,1,1,Normal,train_source
482,1,1,1,Normal,train_source
483,1,1,1,Normal,train_source
484,2,1,1,Normal,train_source
485,1,1,1,Normal,train_source
486,1,1,1,Normal,train_source
487,1,1,1,Normal,train_source
488,1,1,1,Normal,train_source
489,1,1,1,Normal,train_source
490,1,1,1,Normal,train_source
491,1,1,1,Normal,train_source
492,1,1,1,Normal,train_source
493,1,1,1,Normal,train_source
494,1,1,1,Normal,train_source
495,1,1,1,Normal,train_source
496,1,1,1,Normal,train_source
497,1,1,1,Normal,train_source
498,1,1,1,Normal,train_source
499,1,1,1,Normal,train_source
500,1,1,1,Normal,train_source
501,1,1,1,Normal,train_source
502,1,1,1,Normal,train_source
503,1,1,1,Normal,train_source
504,1,1,1,Normal,train_source
505,1,1,1,Normal,train_source
506,1,1,1,Normal,train_source
507,1,1,1,Normal,train_source
508,1,1,1,Normal,train_source
509,1,1,1,Normal,train_source
510,1,1,1,Normal,train_source
511,1,1,1,Normal,train_source
512,1,1,1,Normal,train_source
513,1,1,1,Normal,train_source
514,1,1,1,Normal,train_source
515,1,1,1,Normal,train_source
516,1,1,1,Normal,train_source
517,1,1,1,Normal,train_source
518,2,1,1,Normal,train_source
519,1,1,1,Normal,train_source
520,1,1,1,Normal,train_source
521,1,1,1,Normal,train_source
522,1,1,1,Normal,train_source
523,1,1,1,Normal,train_source
524,1,1,1,Normal,train_source
525,1,1,1,Normal,train_source
526,1,1,1,Normal,train_source
527,1,1,1,Normal,train_source
528,1,1,1,Normal,train_source
529,1,1,1,Normal,train_source
530,1,1,1,Normal,train_source
531,1,1,1,Normal,train_source
532,1,1,1,Normal,train_source
533,1,1,1,Normal,train_source
534,1,1,1,Normal,train_source
535,1,1,1,Normal,train_source
536,1,1,1,Normal,train_source
537,1,1,1,Normal,train_source
538,1,1,1,Normal,train_source
539,1,1,1,Normal,train_source
540,1,1,1,Normal,train_source
541,1,1,1,Normal,train_source
542,1,1,1,Normal,train_source
543,1,1,1,Normal,train_source
544,1,1,1,Normal,train_source
545,1,1,1,Normal,train_source
546,1,1,1,Normal,train_source
547,1,1,1,Normal,train_source
548,1,1,1,Normal,train_source
549,1,1,1,Normal,train_source
550,1,1,1,Normal,train_source
551,1,1,1,Normal,train_source
552,1,1,1,Normal,train_source
553,1,1,1,Normal,train_source
554,3,1,1,Normal,train_source
555,1,1,1,Normal,train_source
556,1,1,1,Normal,train_source
557,1,1,1,Normal,train_source
558,1,1,1,Normal,train_source
559,1,1,1,Normal,train_source
560,1,1,1,Normal,train_source
561,1,1,1,Normal,train_source
562,1,1,1,Normal,train_source
563,1,1,1,Normal,train_source
564,1,1,1,Normal,train_source
565,1,1,1,Normal,train_source
566,1,1,1,Normal,train_source
567,1,1,1,Normal,train_source
568,2,1,1,Normal,train_source
569,1,1,1,Normal,train_source
570,1,1,1,Normal,train_source
571,1,1,1,Normal,train_source
572,1,1,1,Normal,train_source
573,1,1,1,Normal,train_source
574,1,1,1,Normal,train_source
575,1,1,1,Normal,train_source
576,1,1,1,Normal,train_source
577,1,1,1,Normal,train_source
578,1,1,1,Normal,train_source
579,1,1,1,Normal,train_source
580,1,1,1,Normal,train_source
581,43,2,2,Normal|Pneumonia,test_source|train_source
582,1,1,1,Normal,train_source
583,1,1,1,Normal,train_source
584,1,1,1,Normal,train_source
585,1,1,1,Normal,train_source
586,1,1,1,Normal,train_source
587,1,1,1,Normal,train_source
588,1,1,1,Normal,train_source
589,1,1,1,Normal,train_source
590,1,1,1,Normal,train_source
591,1,1,1,Normal,train_source
592,1,1,1,Normal,train_source
593,1,1,1,Normal,train_source
594,1,1,1,Normal,train_source
595,1,1,1,Normal,train_source
596,1,1,1,Normal,train_source
597,1,1,1,Normal,train_source
598,1,1,1,Normal,train_source
599,1,1,1,Normal,train_source
600,1,1,1,Normal,train_source
601,1,1,1,Normal,train_source
602,1,1,1,Normal,train_source
603,1,1,1,Normal,train_source
604,1,1,1,Normal,train_source
605,1,1,1,Normal,train_source
606,1,1,1,Normal,train_source
607,2,1,1,Normal,train_source
608,1,1,1,Normal,train_source
609,1,1,1,Normal,train_source
610,1,1,1,Normal,train_source
611,1,1,1,Normal,train_source
612,1,1,1,Normal,train_source
613,1,1,1,Normal,train_source
614,1,1,1,Normal,train_source
615,1,1,1,Normal,train_source
616,1,1,1,Normal,train_source
617,1,1,1,Normal,train_source
618,1,1,1,Normal,train_source
619,1,1,1,Normal,train_source
620,1,1,1,Normal,train_source
621,1,1,1,Normal,train_source
622,1,1,1,Normal,train_source
623,1,1,1,Normal,train_source
624,1,1,1,Normal,train_source
625,1,1,1,Normal,train_source
626,1,1,1,Normal,train_source
627,1,1,1,Normal,train_source
628,1,1,1,Normal,train_source
629,2,1,1,Normal,train_source
630,1,1,1,Normal,train_source
631,1,1,1,Normal,train_source
632,1,1,1,Normal,train_source
633,1,1,1,Normal,train_source
634,1,1,1,Normal,train_source
635,1,1,1,Normal,train_source
636,9,1,2,Normal,test_source|train_source
637,1,1,1,Normal,train_source
638,1,1,1,Normal,train_source
639,1,1,1,Normal,train_source
640,1,1,1,Normal,train_source
641,1,1,1,Normal,train_source
642,1,1,1,Normal,train_source
643,1,1,1,Normal,train_source
644,1,1,1,Normal,train_source
645,1,1,1,Normal,train_source
646,1,1,1,Normal,train_source
647,1,1,1,Normal,train_source
648,1,1,1,Normal,train_source
649,1,1,1,Normal,train_source
650,1,1,1,Normal,train_source
651,1,1,1,Normal,train_source
652,1,1,1,Normal,train_source
653,1,1,1,Normal,train_source
654,2,1,1,Normal,train_source
655,1,1,1,Normal,train_source
656,2,1,1,Normal,train_source
657,1,1,1,Normal,train_source
658,1,1,1,Normal,train_source
659,1,1,1,Normal,train_source
660,1,1,1,Normal,train_source
661,1,1,1,Normal,train_source
662,1,1,1,Normal,train_source
663,1,1,1,Normal,train_source
664,1,1,1,Normal,train_source
665,1,1,1,Normal,train_source
666,2,1,1,Normal,train_source
667,1,1,1,Normal,train_source
668,1,1,1,Normal,train_source
669,1,1,1,Normal,train_source
670,1,1,1,Normal,train_source
671,1,1,1,Normal,train_source
672,1,1,1,Normal,train_source
673,1,1,1,Normal,train_source
674,1,1,1,Normal,train_source
675,1,1,1,Normal,train_source
676,1,1,1,Normal,train_source
677,1,1,1,Normal,train_source
678,1,1,1,Normal,train_source
679,1,1,1,Normal,train_source
680,1,1,1,Normal,train_source
681,1,1,1,Normal,train_source
682,1,1,1,Normal,train_source
683,1,1,1,Normal,train_source
684,1,1,1,Normal,train_source
685,2,1,1,Normal,train_source
686,1,1,1,Normal,train_source
687,1,1,1,Normal,train_source
688,1,1,1,Normal,train_source
689,1,1,1,Normal,train_source
690,1,1,1,Normal,train_source
691,1,1,1,Normal,train_source
692,1,1,1,Normal,train_source
693,1,1,1,Normal,train_source
694,1,1,1,Normal,train_source
695,1,1,1,Normal,train_source
696,1,1,1,Normal,train_source
697,1,1,1,Normal,train_source
698,1,1,1,Normal,train_source
699,1,1,1,Normal,train_source
700,1,1,1,Normal,train_source
701,1,1,1,Normal,train_source
702,1,1,1,Normal,train_source
703,1,1,1,Normal,train_source
704,1,1,1,Normal,train_source
705,1,1,1,Normal,train_source
706,1,1,1,Normal,train_source
707,1,1,1,Normal,train_source
708,1,1,1,Normal,train_source
709,1,1,1,Normal,train_source
710,1,1,1,Normal,train_source
711,1,1,1,Normal,train_source
712,1,1,1,Normal,train_source
713,1,1,1,Normal,train_source
714,1,1,1,Normal,train_source
715,1,1,1,Normal,train_source
716,2,1,1,Normal,train_source
717,1,1,1,Normal,train_source
718,1,1,1,Normal,train_source
719,1,1,1,Normal,train_source
720,1,1,1,Normal,train_source
721,2,1,1,Normal,train_source
722,1,1,1,Normal,train_source
723,1,1,1,Normal,train_source
724,1,1,1,Normal,train_source
725,1,1,1,Normal,train_source
726,1,1,1,Normal,train_source
727,1,1,1,Normal,train_source
728,1,1,1,Normal,train_source
729,1,1,1,Normal,train_source
730,1,1,1,Normal,train_source
731,1,1,1,Normal,train_source
732,1,1,1,Normal,train_source
733,1,1,1,Normal,train_source
734,1,1,1,Normal,train_source
735,1,1,1,Normal,train_source
736,1,1,1,Normal,train_source
737,1,1,1,Normal,train_source
738,1,1,1,Normal,train_source
739,1,1,1,Normal,train_source
740,1,1,1,Normal,train_source
741,1,1,1,Normal,train_source
742,1,1,1,Normal,train_source
743,1,1,1,Normal,train_source
744,1,1,1,Normal,train_source
745,1,1,1,Normal,train_source
746,1,1,1,Normal,train_source
747,1,1,1,Normal,train_source
748,1,1,1,Normal,train_source
749,1,1,1,Normal,train_source
750,1,1,1,Normal,train_source
751,1,1,1,Normal,train_source
752,1,1,1,Normal,train_source
753,1,1,1,Normal,train_source
754,1,1,1,Normal,train_source
755,1,1,1,Normal,train_source
756,2,1,1,Normal,train_source
757,1,1,1,Normal,train_source
758,1,1,1,Normal,train_source
759,1,1,1,Normal,train_source
760,1,1,1,Normal,train_source
761,1,1,1,Normal,train_source
762,1,1,1,Normal,train_source
763,1,1,1,Normal,train_source
764,1,1,1,Normal,train_source
765,4,1,1,Normal,train_source
766,1,1,1,Normal,train_source
767,1,1,1,Normal,train_source
768,1,1,1,Normal,train_source
769,1,1,1,Normal,train_source
770,1,1,1,Normal,train_source
771,1,1,1,Normal,train_source
772,1,1,1,Normal,train_source
773,1,1,1,Normal,train_source
774,1,1,1,Normal,train_source
775,1,1,1,Normal,train_source
776,1,1,1,Normal,train_source
777,1,1,1,Normal,train_source
778,1,1,1,Normal,train_source
779,1,1,1,Normal,train_source
780,1,1,1,Normal,train_source
781,1,1,1,Normal,train_source
782,1,1,1,Normal,train_source
783,1,1,1,Normal,train_source
784,1,1,1,Normal,train_source
785,1,1,1,Normal,train_source
786,1,1,1,Normal,train_source
787,1,1,1,Normal,train_source
788,1,1,1,Normal,train_source
789,1,1,1,Normal,train_source
790,1,1,1,Normal,train_source
791,1,1,1,Normal,train_source
792,1,1,1,Normal,train_source
793,1,1,1,Normal,train_source
794,4,1,2,Normal,test_source|train_source
795,1,1,1,Normal,train_source
796,1,1,1,Normal,train_source
797,1,1,1,Normal,train_source
798,1,1,1,Normal,train_source
799,1,1,1,Normal,train_source
800,1,1,1,Normal,train_source
801,1,1,1,Normal,train_source
802,1,1,1,Normal,train_source
803,1,1,1,Normal,train_source
804,1,1,1,Normal,train_source
805,1,1,1,Normal,train_source
806,1,1,1,Normal,train_source
807,1,1,1,Normal,train_source
808,1,1,1,Normal,train_source
809,1,1,1,Normal,train_source
810,1,1,1,Normal,train_source
811,1,1,1,Normal,train_source
812,1,1,1,Normal,train_source
813,1,1,1,Normal,train_source
814,1,1,1,Normal,train_source
815,1,1,1,Normal,train_source
816,1,1,1,Normal,train_source
817,1,1,1,Normal,train_source
818,1,1,1,Normal,train_source
819,1,1,1,Normal,train_source
820,1,1,1,Normal,train_source
821,1,1,1,Normal,train_source
822,1,1,1,Normal,train_source
823,1,1,1,Normal,train_source
824,1,1,1,Normal,train_source
825,1,1,1,Normal,train_source
826,1,1,1,Normal,train_source
827,1,1,1,Normal,train_source
828,1,1,1,Normal,train_source
829,1,1,1,Normal,train_source
830,1,1,1,Normal,train_source
831,1,1,1,Normal,train_source
832,3,1,1,Normal,train_source
833,1,1,1,Normal,train_source
834,1,1,1,Normal,train_source
835,1,1,1,Normal,train_source
836,1,1,1,Normal,train_source
837,1,1,1,Normal,train_source
838,1,1,1,Normal,train_source
839,1,1,1,Normal,train_source
840,1,1,1,Normal,train_source
841,1,1,1,Normal,train_source
842,1,1,1,Normal,train_source
843,1,1,1,Normal,train_source
844,1,1,1,Normal,train_source
845,1,1,1,Normal,train_source
846,1,1,1,Normal,train_source
847,1,1,1,Normal,train_source
848,1,1,1,Normal,train_source
849,1,1,1,Normal,train_source
850,1,1,1,Normal,train_source
851,1,1,1,Normal,train_source
852,1,1,1,Normal,train_source
853,1,1,1,Normal,train_source
854,1,1,1,Normal,train_source
855,2,1,1,Normal,train_source
856,1,1,1,Normal,train_source
857,1,1,1,Normal,train_source
858,1,1,1,Normal,train_source
859,1,1,1,Normal,train_source
860,2,1,1,Normal,train_source
861,2,1,1,Normal,train_source
862,1,1,1,Normal,train_source
863,1,1,1,Normal,train_source
864,1,1,1,Normal,train_source
865,1,1,1,Normal,train_source
866,1,1,1,Normal,train_source
867,1,1,1,Normal,train_source
868,1,1,1,Normal,train_source
869,1,1,1,Normal,train_source
